"filename", "language", "JavaScript", "JSON", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\hites\OneDrive\Desktop\prj\server\config\db.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\hites\OneDrive\Desktop\prj\server\index.js", "JavaScript", 61, 0, 0, 0, 10, 15, 86
"c:\Users\hites\OneDrive\Desktop\prj\server\middleware\adminAuth.js", "JavaScript", 30, 0, 0, 0, 0, 7, 37
"c:\Users\hites\OneDrive\Desktop\prj\server\middleware\auth.js", "JavaScript", 27, 0, 0, 0, 0, 6, 33
"c:\Users\hites\OneDrive\Desktop\prj\server\models\Order.js", "JavaScript", 73, 0, 0, 0, 0, 3, 76
"c:\Users\hites\OneDrive\Desktop\prj\server\models\Product.js", "JavaScript", 43, 0, 0, 0, 7, 9, 59
"c:\Users\hites\OneDrive\Desktop\prj\server\models\User.js", "JavaScript", 46, 0, 0, 0, 0, 5, 51
"c:\Users\hites\OneDrive\Desktop\prj\server\package-lock.json", "JSON", 0, 1482, 0, 0, 0, 1, 1483
"c:\Users\hites\OneDrive\Desktop\prj\server\package.json", "JSON", 0, 23, 0, 0, 0, 1, 24
"c:\Users\hites\OneDrive\Desktop\prj\server\public\assets\index-B8QOdWPL.js", "JavaScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\hites\OneDrive\Desktop\prj\server\public\assets\index-CnclcCYw.css", "PostCSS", 0, 0, 0, 1, 0, 1, 2
"c:\Users\hites\OneDrive\Desktop\prj\server\public\index.html", "HTML", 0, 0, 14, 0, 0, 1, 15
"c:\Users\hites\OneDrive\Desktop\prj\server\routes\admin.js", "JavaScript", 211, 0, 0, 0, 6, 32, 249
"c:\Users\hites\OneDrive\Desktop\prj\server\routes\auth.js", "JavaScript", 60, 0, 0, 0, 3, 16, 79
"c:\Users\hites\OneDrive\Desktop\prj\server\routes\orders.js", "JavaScript", 161, 0, 0, 0, 19, 32, 212
"c:\Users\hites\OneDrive\Desktop\prj\server\routes\products.js", "JavaScript", 36, 0, 0, 0, 4, 7, 47
"c:\Users\hites\OneDrive\Desktop\prj\server\seed.js", "JavaScript", 125, 0, 0, 0, 4, 15, 144
"c:\Users\hites\OneDrive\Desktop\prj\server\services\PaymentService.js", "JavaScript", 83, 0, 0, 0, 1, 11, 95
"Total", "-", 968, 1505, 14, 1, 54, 166, 2708
